Id,PostId,PostNoticeTypeId,CreationDate,DeletionDate,ExpiryDate,Body,OwnerUserId,DeletionUserId,id
"137480","43290480","13","2017-05-17 09:55:05","2017-05-22 08:28:40","","","1649372","1649372","43290480"
"137887","43792085","14","2017-05-22 19:39:34","2017-05-30 21:06:07","","","766118","-1","43792085"
"137972","44065186","14","2017-05-24 04:13:49","2017-06-01 05:24:13","","","966698","-1","44065186"
"138594","43290480","12","2017-06-02 13:31:49","2017-06-09 20:04:07","","","1649372","1649372","43290480"
"163155","50986816","14","2018-06-26 10:26:10","2018-07-04 12:24:36","","","1535747","-1","50986816"
"114195","37693542","11","2016-06-14 07:00:56","2016-06-22 08:32:14","","","798735","-1","37693542"
"114732","37897058","14","2016-06-21 11:30:12","2016-06-27 22:00:35","","Bounty opened up to reward anyone who doesn't mind taking the time to give a full walk through of the mentalities and best practices here.  I want to make sure I have a proper understanding for all my future projects","4944649","4944649","37897058"
"191397","58593774","11","2019-11-01 03:30:12","2019-11-09 05:01:45","","Explain if this is a limitation in OData and if there is any work around to solve this issue","1027102","-1","58593774"
"164020","51227737","11","2018-07-09 23:40:49","2018-07-15 18:03:21","","Since I've read all the theory and content on the net, I hope that based on the information I have already given in this thread, you'd be able to guide me based on the description and diagram where I use my concrete use case as an example. (or just ask me if something seems confusing and you want me to clarify it more)","3973406","3973406","51227737"
"164451","48906817","14","2018-07-17 08:12:51","2018-07-25 10:00:53","","","1062015","-1","48906817"
"165150","51541318","14","2018-07-29 03:24:14","2018-08-05 21:59:05","","","139698","139698","51541318"
"88628","30995669","11","2015-06-25 07:39:05","2015-07-03 09:07:50","","","2968101","-1","30995669"
"165990","51726683","11","2018-08-11 02:38:46","2018-08-15 13:58:30","","","292291","292291","51726683"
"166664","51821786","11","2018-08-23 09:14:45","2018-08-31 11:01:08","","","4860939","-1","51821786"
"166774","51976057","14","2018-08-25 02:29:45","2018-08-29 03:49:06","","","139698","139698","51976057"
"90279","31342583","11","2015-07-18 00:02:54","2015-07-24 23:45:10","","","4086836","4086836","31342583"
"142901","45515650","11","2017-08-07 17:17:07","2017-08-15 18:48:35","","","1845593","-1","45515650"
"142904","45510905","13","2017-08-07 17:52:36","2017-08-15 19:47:30","","","5506061","-1","45510905"
"143035","45547556","11","2017-08-09 17:19:35","2017-08-17 19:05:03","","","301957","-1","45547556"
"167703","52219244","11","2018-09-10 07:38:07","2018-09-18 09:00:29","","","3172652","-1","52219244"
"167723","52228734","11","2018-09-10 09:56:53","2018-09-18 11:00:44","","","809807","-1","52228734"
"168241","52318727","11","2018-09-18 22:24:27","2018-09-27 00:00:42","","Must explain how to test async web services from acceptance perspective without having flickering tests","1633190","-1","52318727"
"168263","52161774","13","2018-09-19 10:51:39","2018-09-26 10:59:48","","","4860939","4860939","52161774"
"193793","59186008","11","2019-12-07 13:01:09","2019-12-15 15:00:55","","","2761509","-1","59186008"
"193943","58892667","11","2019-12-09 15:29:29","2019-12-17 17:02:25","","","4291750","-1","58892667"
"120014","39305118","11","2016-09-05 08:58:15","2016-09-06 13:56:43","","","3645827","3645827","39305118"
"143704","45625886","11","2017-08-19 18:18:41","2017-08-27 20:15:14","","This is a very open ended question, but one I think many developers ask themselves whenever they need to build a service that interfaces with other services within their org. I'm hoping to clarify the distinction between REST and gRPC for engineers exploring these options.","1773216","-1","45625886"
"144144","45869766","11","2017-08-26 21:44:03","2017-08-30 22:33:59","","This is an issue that I've still been unable to solve without purchasing a higher tier of windows 10, which isn't a verifiable solution to the issue. I've opened an issue with the github project, and haven't received any information or acknowledgement. I think whoever can show a solution to this deserves additional reputation gain.

Thanks,","4557002","4557002","45869766"
"144749","44946517","11","2017-09-05 17:56:51","2017-09-13 19:28:14","","","7434324","-1","44946517"
"195086","59487499","13","2019-12-28 16:54:49","2020-01-03 08:56:55","","","2892373","2892373","59487499"
"145189","43763418","13","2017-09-12 16:53:56","2017-09-20 18:03:58","","","117700","-1","43763418"
"146101","40900818","11","2017-09-26 18:07:41","2017-10-02 17:36:03","","","98082","98082","40900818"
"171122","53109442","11","2018-11-06 22:35:58","2018-11-14 00:18:35","","","2327863","2327863","53109442"
"171466","53149896","14","2018-11-13 04:32:38","2018-11-21 06:01:10","","Need detailed and exact solution","2931744","-1","53149896"
"195557","59453896","11","2020-01-06 10:25:44","2020-01-14 12:03:40","","","42119","-1","59453896"
"196000","59632686","11","2020-01-13 10:20:40","2020-01-14 20:12:10","","","7716341","7716341","59632686"
"196489","59801685","13","2020-01-20 14:49:41","2020-01-21 15:55:49","","","606521","606521","59801685"
"196696","59827700","11","2020-01-23 10:46:45","2020-01-31 12:02:25","","","5154146","-1","59827700"
"122327","39852947","14","2016-10-07 08:35:36","2016-10-15 10:31:56","","","1780700","-1","39852947"
"123697","38071714","12","2016-10-27 12:34:46","2016-11-03 13:45:09","","","2993860","2993860","38071714"
"93714","32334161","13","2015-09-03 14:26:24","2015-09-04 14:33:29","","The bounty will be rewarded to the individual who can explain the benefits of service discovery tools over traditional load balancers that have health checking and node monitoring built into them.","4009451","4009451","32334161"
"172154","53428768","11","2018-11-26 05:50:35","2018-12-04 07:03:10","","","2149453","-1","53428768"
"172232","53446080","11","2018-11-26 21:07:27","2018-12-04 23:01:05","","","895477","-1","53446080"
"173939","53908473","13","2018-12-28 15:52:42","2019-01-05 17:00:50","","","2149484","-1","53908473"
"174109","53944603","11","2019-01-02 08:15:15","2019-01-09 10:44:17","","","5026265","5026265","53944603"
"199129","60381734","13","2020-02-27 06:56:25","2020-03-04 18:02:19","","","4131411","4131411","60381734"
"199394","60451886","11","2020-03-02 12:03:30","2020-03-10 14:01:15","","","999017","-1","60451886"
"150313","47527983","14","2017-11-30 09:31:32","2017-12-07 09:23:15","","","7600634","7600634","47527983"
"199965","60581395","14","2020-03-10 01:41:51","2020-03-16 19:05:35","","","915839","915839","60581395"
"150966","47566338","13","2017-12-11 17:12:19","2017-12-19 07:41:17","","","2273909","2273909","47566338"
"176190","54575048","11","2019-02-09 20:54:11","2019-02-17 19:16:56","","","2012120","2012120","54575048"
"126698","41036545","11","2016-12-10 10:33:58","2016-12-18 12:08:44","","","303810","-1","41036545"
"201903","60479306","11","2020-04-05 19:42:41","2020-04-10 12:40:10","","","574187","574187","60479306"
"201996","61028545","11","2020-04-06 15:37:20","2020-04-14 17:00:50","","I've been stuck for the last two months on this issue and therefore I'm desperately searching for help. I'm learning","8146182","-1","61028545"
"202185","61037759","13","2020-04-09 06:26:50","2020-04-17 08:00:03","","","2723864","-1","61037759"
"202364","61064270","13","2020-04-11 13:59:50","2020-04-17 13:47:09","","","10203069","10203069","61064270"
"202706","60972351","11","2020-04-15 07:24:37","2020-04-23 09:07:06","","","1063673","-1","60972351"
"100546","34109946","11","2015-12-08 08:05:19","2015-12-14 08:45:26","","","1847482","1847482","34109946"
"178223","54837671","11","2019-03-13 16:02:15","2019-03-21 18:01:27","","","1932477","-1","54837671"
"178804","55139830","11","2019-03-24 01:09:44","2019-04-01 02:26:41","","Detail answer to cover what approach is aligned with the best practices and what are the associated pros/cons.","1727204","-1","55139830"
"203566","61382439","13","2020-04-25 08:25:42","2020-05-02 13:02:29","","","8586803","8586803","61382439"
"204439","61456105","14","2020-05-04 16:33:47","2020-05-12 18:01:05","","This kind of pattern will be very useful. We were using CQRS with monolithic and now moving to Micro service based. 

We are looking for separation of concerns, thin controller, testable architecture and easy to maintain and make changes quickly. 

That is a reason I am planning to isolate external api calls from my controller. May be some request/response or proxy pattern would be helpful. Still I am in confuse","5504061","-1","61456105"
"154023","47793065","14","2018-02-02 08:49:11","2018-02-10 10:12:27","","","3967289","-1","47793065"
"154970","48791411","11","2018-02-17 22:00:24","2018-02-25 23:14:35","","","649811","-1","48791411"
"206249","61955206","13","2020-05-24 19:07:26","2020-06-01 21:00:40","","","2511802","-1","61955206"
"181123","55930850","11","2019-05-03 06:35:22","2019-05-06 01:35:11","","","1068446","1068446","55930850"
"181616","56082458","14","2019-05-12 18:01:53","2019-05-20 20:01:50","","explain advantages and drawbacks of each approach","4322228","-1","56082458"
"131639","36792713","11","2017-02-21 10:33:14","2017-02-28 06:59:00","","This question has recently become a lot more relevant to me. Additionally, 10 months have passed and new patterns / possibilities might have emerged. The current posts and tutorials on this topics only cover how to dynamically add components that are already known during bootstrapping. I can imagine dynamic lazy component loading as a possible approach?","1792564","1792564","36792713"
"132245","42486386","13","2017-03-01 17:04:49","2017-03-09 18:41:51","","","1212017","-1","42486386"
"132338","42487685","13","2017-03-02 20:01:58","2017-03-10 21:18:50","","I need some E2E solution for this ...","6124024","-1","42487685"
"75592","27489124","11","2014-12-17 17:45:27","2014-12-22 19:59:55","","Still looking for best practice to stream large amounts of data between node services","257535","257535","27489124"
"157755","46236744","13","2018-04-02 10:10:07","2018-04-10 11:53:29","","","288501","-1","46236744"
"157951","49624372","14","2018-04-05 08:07:02","2018-04-13 10:02:18","","Please Help me out with my Query","3087605","-1","49624372"
"134553","43132158","11","2017-04-03 10:08:48","2017-04-11 11:25:43","","The clear explanation of mule proxy API policy works will be very appreciated","44512","-1","43132158"
"134714","43179951","13","2017-04-05 09:32:19","2017-04-10 06:42:10","","I have read through multiple linked threads, but I feel like I am still missing the approach that I can align company on and provide convenient tools for BI without ending up with constantly spreading cancer of data replication.","632375","632375","43179951"
"184871","45215621","11","2019-07-08 07:23:17","2019-07-16 09:00:46","","Need an answer with proper explanation and examples.","8868030","-1","45215621"
"184894","56913581","14","2019-07-08 12:23:09","2019-07-09 14:44:17","","What are the architectural options? Along with it's pro's and con's. 

Is it a sin to break the 'one database per service' or is it okay to consider a service split in writing (to database) and reading/presenting (from same database) as one service.","2936329","2936329","56913581"
"185338","57011456","11","2019-07-15 15:29:37","2019-07-17 16:44:26","","provide libraries or possible solutions or explain why the current approach is the best","6252399","6252399","57011456"
"185450","56969108","11","2019-07-17 09:07:28","2019-07-21 11:12:42","","","750378","4099593","56969108"
"159034","49944806","11","2018-04-23 02:06:34","2018-05-01 03:15:00","","","2224344","-1","49944806"
"159263","38565470","13","2018-04-25 16:01:42","2018-05-03 17:19:54","","How do you version the BLL? Service A needs to call v1 of Service B, but B has been upgraded to v2. The contract is the same, yet the BLL has changed.","117700","-1","38565470"
"159913","50111276","11","2018-05-07 05:23:17","2018-05-15 06:42:00","","Need some feedback guys!!!  Can someone offer an informed opinion?","663853","-1","50111276"
"159986","50176793","11","2018-05-07 17:12:25","2018-05-14 17:14:25","","","5077196","5077196","50176793"
"159992","49875284","14","2018-05-07 18:48:17","2018-05-15 20:44:51","","","3253853","-1","49875284"
"135554","43313424","11","2017-04-17 18:52:56","2017-04-25 20:15:08","","","68612","-1","43313424"
"80044","28607400","11","2015-02-23 13:00:59","2015-03-03 14:11:03","","What are different (and secure) approaches to solve mentioned issues regarding session handling for an E-Commerce system? For example handling the cart on the client side etc ..","2236664","-1","28607400"
"206988","57017463","13","2020-06-01 14:54:07","2020-06-09 16:05:35","","","117700","-1","57017463"
"207578","62231115","11","2020-06-08 17:51:55","2020-06-16 19:04:10","","","2911506","-1","62231115"
"208897","62079202","11","2020-06-24 02:50:57","2020-07-02 04:09:07","","I will award the bounty to anyone who can provide a thoughtful explanation of the different ways frontends can interact with microservices (specifically, the pros and cons of having them behind the API gateway acting as its own service or separate from it).","2779450","-1","62079202"
"209974","62674450","11","2020-07-07 02:40:13","2020-07-15 04:04:55","","Please show some example or even ideas.","3854890","-1","62674450"
"162105","46742274","13","2018-06-09 15:05:01","2018-06-16 01:14:07","","","697630","697630","46742274"
"189916","58205669","13","2019-10-05 15:24:16","2019-10-13 17:01:55","","","1021294","-1","58205669"
"85512","30116581","13","2015-05-12 02:34:25","2015-05-19 03:46:55","","","2205763","2205763","30116581"
"190260","45239377","14","2019-10-11 18:50:50","2019-10-19 20:01:30","","","3469132","-1","45239377"
"211110","62968116","11","2020-07-20 13:03:53","2020-07-23 14:06:23","","","5036476","5036476","62968116"
"211520","63047047","13","2020-07-26 04:40:41","2020-08-02 06:17:14","","","664727","664727","63047047"
"211628","59786338","11","2020-07-27 12:23:09","2020-07-30 04:23:46","","","1383538","366904","59786338"
"212497","62770605","11","2020-08-07 18:20:23","2020-08-15 20:04:55","","","1901831","-1","62770605"
"212501","62951664","11","2020-08-07 19:15:56","2020-08-15 21:01:15","","","915839","-1","62951664"
"214079","63523515","12","2020-08-28 16:05:49","2020-09-05 18:00:06","","I'd like to see how to authenticate an *App Service* in another *App Service* both based on .NET Core 3.1: caller code sample + required Azure configuration to do. I'd like to use no password nor secrets. Just assign an identity to both services.","751368","-1","63523515"
"214254","63641471","11","2020-08-31 10:19:54","2020-09-02 09:16:12","","","246304","246304","63641471"
"215711","63942654","11","2020-09-21 02:59:48","2020-09-29 04:09:01","","","6047599","-1","63942654"
"215754","63956371","11","2020-09-21 09:27:31","2020-09-29 11:01:00","","","219971","-1","63956371"
"215845","63967213","11","2020-09-22 10:55:17","2020-09-30 12:05:00","","I have to use djangorestframework-simplejwt package's experimental feature only.

A step by step instructions of code configurations on both SSO Django project and other client Django projects.","9310031","-1","63967213"
"216541","60274394","11","2020-10-01 07:07:30","2020-10-09 09:03:50","","This seems to be a fundamental problem of ABAC. I can't believe that this hasn't been solved or that there aren't best practices for scenarios like that","572644","-1","60274394"
"216989","64203140","11","2020-10-07 13:38:10","2020-10-11 14:33:27","","","936651","936651","64203140"
"217486","64313485","13","2020-10-14 07:43:43","","","","574122","","64313485"